printer_id,name,cartridges,parts,availability,in_transit,wholesale_price,retail_price,description,char_Тип товара,char_Происхождение товара,char_Название модели,char_Артикул,char_Артикул Восточноевропейский,char_Артикул Азиатский,char_Альтернативные артикулы,"char_Ресурс, стр A4",char_Бренд,char_Цвет тонера,char_Назначение,char_Используется в принтерах,"char_Вес тонера в картридже, г",char_Страна-производитель,char_Принтеры для наименования,char_Ключевые слова,char_Вес в упаковке,char_Гарантия,char_Поставщик,char_Для использования с картриджами,char_Модель запчасти,char_Цветность,char_Категория товара,char_Совместимые картриджи,"char_Для использования с принтерами/МФУ, совместимость",char_Особенности,char_Производитель,char_Тип,char_Количество страниц,char_Цвет,char_Для использования с принтерами,char_Совместимый картридж,char_Для использования с принтерами/МФУ,char_Сайт производителя,char_Наличие чипа,char_Модель заправляемых оригинальных картриджей,char_Ресурс,char_Модель заменяемых оригинальных картриджей,char_Наименование производителя,char_Номер запчасти (Part number),char_Группа товара,char_Подгруппа товара,"char_Вес тонера с девелопером в картридже, г",char_Наименование картриджа,"char_Для использования с принтерами, совместимость",char_Масса тонера,"char_Ресурс, стр","char_Масса тонера, г","char_Вес тонер, г",char_Регион использования,char_Совместимые принтеры,char_Заводской номер запчасти,char_Совместимость,"char_Количество отпечатков, стр",char_Продукт IG,char_Технология печати,char_Влажность при эксплуатации,char_Температура хранения,char_Размеры упаковки,char_Вес,char_Тип запчасти,"char_Ресурс отпечатков, л",char_Продукт Kyocera,char_Вес картриджа
400000033192,"Печной вал /2 (Fusing Roller/2) оригинал. для Konica Minolta C6000/C70hc, A03U720201",,,0,0,14690.0,14690.0,"Konica Minolta Bizhub Press C6000, C7000, C7000P, C70HC;Pro C5500, C5501, C6000L, C6500, C6501, C65HC",Печной вал /2,оригинальный,,,,,A1DUP72100,900000,Konica Minolta,,,"Konica Minolta Bizhub Press C6000, C7000, C7000P, C70HC; Pro C5500, C5501, C6000L, C6500, C6501, C65HC",,,C6000/C70hc,"Konica Minolta bizhub Press C6000 C7000, C7000P c70hc Pro С5500 C5501 C6500 C6500E C6501 C6000L c65hc C 6000 C 7000, C 7000P c 70hc С 5500 C 5501 C 6500 C 6500E C 6501 C 6000L c 65hc  Вал нагрева Вал печки Вал термобарабана Вал термоблока Вал термозакрепления Вал термоузла Вал термофиксации Вал узла фиксации Вал фьюзера Нагревательный барабан Нагревательный вал Нагревательный вал фьюзера Нагревательный ролик Нагревательный ролик термоблока Нагревательный элемент Прижимной ролик Резиновый вал Ролик для печки Ролик для фьюзера Ролик нагрева Ролик нагревательный Ролик нагревателя Ролик печки Ролик термоблока Ролик термовала Ролик термозакрепления Ролик узла нагрева Ролик фиксации Ролик фьюзера Термический вал Термовал Терморолик Тефлоновый вал Фьюзер роллер Фьюзерный ролик второй №2 /2 Коника Минолта Минольта бизхаб бицхаб пресс про C 6000 C 7000 C 7000P C 70HC C 5500 C 5501 C 6000L C 6500 C 6501 C 65HC С6000 С7000 С7000Р С70HC С5500 С5501 С6000L С6500 С6501 С65HC","2092, грамм",Гарантия на данный товар не предоставляется,,,не предусмотрено,не предусмотрено,,,,,,,,,,,,,,,,,Fusing Roller/2,A03U720201,Закрепление изображения,Печные валы и ремни,,,,,,,,,,,,,,,,,,,,,,
400000033691,"Картридж оригинал. Ricoh 828516/828512, для цветных лазерных принтеров C9200/C9210, пурпурный (magenta), 48000стр A4",,,20,0,11690.0,11690.0,,Картридж,оригинальный,не предусмотрено,828571,828516,828512,828571,48000,Ricoh,пурпурный (magenta),для цветных лазерных принтеров,"Ricoh Pro C9200, C9210",1482,Япония,C9200/C9210,Ricoh Pro Про Rico Rikoh Riko Рико Рикох replenisher тонер туба флакон порошок краска картриж С9200 С9210 С 9200 С 9210,"2060, грамм",10 месяцев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030457,"Картридж для лазерного принтера оригинальный  Samsung MLT-D205L, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030907,"Фотобарабан  совместим. для лазерных принтеров Konica Minolta C554, Китай",,,7,0,590.01,641.31,"Фотобарабан совместимый для принтеров Konica Minolta Bizhub 554e, 558, 558e, 654, 654e, 658e, 754, 754e, 758, 808, C554, C554e, C654, C654e, C659, C754, C754e, C759",Фотобарабан,совместимый,,,,,,нет данных,Китай,,,,,,,"Konica Minolta Bizhub 554e, 558, 558e, 654, 654e, 658e, 754, 754e, 758, 808, C554, C554e, C654, C654e, C659, C754, C754e, C759","130, грамм",Гарантия на данный товар не предоставляется,KI,не предусмотрено,Konica Minolta C554,не предусмотрено,Фотобарабаны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031116,"Блок фотобарабана (Drum Unit) оригинал. DR-316K для Konica Minolta C250i/C360i, черный (black), AAV70RD",,,10,0,17900.0,17899.99,"Konica Minolta Bizhub C250i, C300i, C360i",Блок фотобарабана,оригинальный,,,,,не предусмотрено,170000,Konica Minolta,,,"Konica Minolta Bizhub C250i, C300i, C360i",,,C250i/C360i,Konica Minolta Bizhub C250i C300i C360i C 250 250i 300 300i 360 360i i,"1090, грамм",Гарантия на данный товар не предоставляется,,,DR-316K,черный (black),,,,,,,,,,,,,,,,,Drum Unit,AAV70RD,Формирование изображения,Блок фотобарабана,,,,,,,,,,,,,,,,,,,,,,
400000026926,"Картридж ML-4550A, black (черный) для лазерного принтера Samsung ML-4550N, 4550, 4551N, 4551ND",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031935,"Картридж оригинал. Xerox (Fujifilm) 006R01529/CT201586, для цветных лазерных принтеров C550/C570, черный (black), 30000стр A4",,,128,0,6590.0,6589.99,"Xerox Primelink C550/C560/C570Внимание, для работы картриджа в МФУ требуется заменачипа!",Картридж,оригинальный,не предусмотрено,CT201586,006R01529,CT201586,006R01525,30000,Xerox (Fujifilm),черный (black),для цветных лазерных принтеров,"Xerox Color 550, 560, 570",638,Япония,C550/C570,Xerox Color Colour C550 C560 C570 C60 C70 C 550 C 560 C 570 C 60 C 70 PrimeLink Prime Link C9065 C9070  C 9065 C 9070 Праймлинк колор калэр калор colour пресс ксерокс тонер туба replenisher краска,"1450, грамм",10 месяцев,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,
400000030322,"Картридж для лазерного принтера оригинальный  Brother Brother TN-650, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000005382,Картридж 106R01379 black (черный) Xerox 3100MFP 6000стр. пр-во Xerox,,,0,0,4397.6,4051.29,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000018133,"Картридж TK 1140 black (черный) для лазерных принтеров Kyocera FS103FMP, с чипом, заменяет ориг. картридж Kyocera TK 1140, Булат",,,0,0,644.8,700.87,"Черный тонер-картридж для принтеров Kyocera FS 1035 MFP, 1135, ECOSYS M2035 заменяющий оригинальные картриджи Kyocera TK-1140.Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,Булат http://www.bulatgroup.ru,,,black (черный),,,,,,,7200,Kyocera TK 1140,,,,,,TK-1140,"Kyocera FS 1035 MFP, 1135, ECOSYS M2035",,,,,,,,,,,,,,,,,,,
400000030522,Картридж лазерный Kyocera TK-3150,,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000028381,"Картридж FX-3, с чипом, black (черный), для лазерных принтеров Canon Fax L360, Laser Class 1060P, MultiPass L6000, Fax L3500IF, Laser Class 6000, Fax L220, Fax L250, 2700стр, произв.",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000021245,"Вал заряда  совместим. для лазерных принтеров Samsung ML-1910, 2850, 2950, Китай",,,19,0,66.88,72.7,"Вал заряда для лазерных принтеров Samsung ML-1910, 2850, 2950 и картриджей ML-D2850, MLT-D209L, MLT-D105L. Вал первичного заряда представляет собой металлическую ось, заключенную в резиновую оболочку. PCR имеют разное строение резинового слоя. Основная задача этой детали зарядка фотобарабана однородным отрицательным зарядом. В некоторых картриджах PCR выполняет функцию своеобразного дворника - очищает фотобарабан от остатков тонера и бумажной пыли. PCR также стирает остаточный заряд, который остался на фотобарабане от предыдущей зарядки. Вал первичного заряда подвержен сильному загрязнению бумажной пылью, поэтому требует регулярной и тщательной чистки.",,,,,,,,,,,,,,,,,,,,,,,,,"Samsung ML-1910, 2850, 2950",,noname,,,,,"ML-D2850, MLT-D209L, MLT-D105L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000015428,"Картридж совместимый для ч/б лазерных принтеров Canon и HP, RTC Q5949X/7553X, черный (black), с чипом, 7000стр A4, Булат 7Q",,,0,0,1143.06,1242.46,"Черный тонер-картридж для принтеров HP LaserJet 1160, 1320, 3390, 3392, M2727, P2014, 2015 Canon LBP 3300, 3360, (708H), 3310, 3370 (715H), заменяющий оригинальные картриджи Q5949X, Q7553X. Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,Булат http://www.bulatgroup.ru,,,black (черный),"HP LaserJet 1160, 1320, 3390, 3392, M2727, P2014, P2015 Canon LBP3300, 3360, (708H), 3310, 3370 (715H)",,,,,,7000,"HP Q5949А, Q7553А, C708H, С715H",,,,,,RTC Q5949X/7553X с чипом,,,,,,,,,,,,,,,,,,,,
400000031502,"Картридж совместимый для ч/б лазерных принтеров HP, RTC W1106A, черный (black), с чипом, 1000стр A4, Булат 7Q",,,4,0,629.17,683.88,,Картридж совместимый,,RTC W1106A,,,,,1000,Булат 7Q,черный (black),для ч/б лазерных принтеров HP,,,,Laser 107,,"885, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,Laser 107 135 137,с чипом,W1106A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000022462,"Картридж TK-435 для лазерных принтеров Kyocera TASKalfa 180, 181, 220, 221, заменяет ориг. картриджи TK-435, 15000стр, произв. Булат",,,0,0,1282.17,1393.66,"Черный тонер-картридж для принтеров Kyocera TASKalfa 180, 181, 220, 221 заменяющий оригинальные картриджи TK-435.Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,Булат,,,black (черный),,,,http://www.bulatgroup.ru,,,15000,TK-435,,,,,,TK-435,"Kyocera TASKalfa 180, 181, 220, 221",,,,,,,,,,,,,,,,,,,
400000026132,"Картридж ML-1710 с чипом, black (черный), для лазерных принтеров Samsung ML1500, ML1710, SCX4100, SCX4216f заменяет ориг. картриджи ML-1710, 3000стр, произв. Uniton",,,0,0,810.43,880.9,,Картридж совместимый,,ML-1710,,,,,3000,Uniton,черный (black),,,,,"Samsung ML1500, ML1510, ML1520, ML1710, ML1740, ML1750, ML1755S, SCX4100, SCX4216F, Xerox Phaser 3130, Xerox WorkCentre PE1",,"350, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,https://www.ramis.ru,с чипом,"ML-1710D2, 109R00725",,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000005606,"Картридж Kyocera TK 710 black (черный) для лазерных принтеров Kyocera FS9130, FS9530dn, 40000стр, произв. Kyocera",,,0,0,4512.62,4767.44,"Оригинальный черный тонер-картридж TK-70 для принтеров Kyocera FS-9100, 9120, 9500, 9520DN. Расходные материалы Kyocera пользуются большой популярностью благодаря зарекомендовавшему себя качеству, они давно существуют на рынке, а развитие новых технологий позволяет производить все более надежные расходные материалы. С расходными материалами Kyocera заметно повысится эффективность и производительность работы, ведь объема картриджей Kyocera хватает надолго, а результаты ни у кого не вызывают нареканий.",,,,,,,,,,,,,,,,,,,,,,,,,,,Kyocera,,,black (черный),,,,http://www.kyocera.ru,,,,,,,,,,TK-70,"Kyocera FS-9100, 9120, 9500, 9520DN",,40000,,,,,,,,,,,,,,,,,
400000024348,"Картридж оригинал. Konica Minolta TN-622Y A5E7251/A5E7250, для цветных лазерных принтеров C6085/C6100, желтый (yellow), 104000стр A4",,,0,0,9800.0,11084.62,"Оригинальный желтый тонер-картридж TN622 EU для использования с принтерами Konica Minolta AccurioPress C6085, C6100. Ресурс картриджа составляет около 92000 страниц.",,,,,,,,,,,,,,,,,,,,,,,,,,,Konica Minolta,,,yellow (желтый),,,,https://www.konicaminolta.com,,,,,,,,,,TN622 EU,"Konica Minolta AccurioPress C6085, C6100",,104000,,1645,,,,,,,,,,,,,,,
400000022364,"Картридж RTC CLP-C300A, cyan (голубой), для лазерных принтеров Samsung CLP300, CLX2160, CLX3160, заменяет ориг. картриджи CLP-C300A, 1000стр.,  произв. Булат (7Q)",,,0,0,276.57,300.62,"Голубой тонер-картридж для принтеров Samsung CLP300, CLX2160, CLX3160, заменяющий оригинальные картриджи CLP-C300A. Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,S-Line,,,cyan (голубой),"Samsung CLP300, CLX2160, CLX3160",,,http://www.bulatgroup.ru,,,1000,CLP-C300A,,,,,,RTC CLP-Y300A,,,,,,,,,,,,,,,,,,,,
400000029489,"Картридж для лазерного принтера оригинальный артикул TN-216Y, желтый (yellow), Konica Minolta",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"754, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000003401,"Картридж(уценка) оригинал. Samsung SCX-D4200A, для ч/б лазерных принтеров SCX-4200/4220, черный (black), 3000стр A4",,,0,0,841.51,914.69,,,,,,,,,,,,,,,,,,"1072, грамм",10 месяцев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
