product_id,name,availability,in_transit,wholesale_price,retail_price,characteristics,description
200000001734,"Чернила водорастворимые E0005-01LY, для картриджей Epson T0484, T0494, желтые (yellow), 1000мл, Inktec",1,0,951.71,1034.47,"{""Наименование чернил"": ""E0005-01LY"", ""Цвет"": ""yellow (желтый)"", ""Объем"": ""1 литр"", ""Модель заправляемых оригинальных картриджей"": ""T0484, T0494"", ""Для использования с принтерами, совместимость"": ""Epson Stylus Photo R200, R210, R220, R230, R300, R300M, R310, R320, R340, R350, RX500, RX510, RX600, RX620, RX630, RX640, RX650"", ""Производитель"": ""Inktec http://www.inktec.ru""}","Желтые чернила для струйных принтеров Epson Stylus Photo R200, R210, R220, R230, R300, R300M, R310, R320, R340, R350, RX500, RX510, RX600, RX620, RX630, RX640, RX650. Чернила совместимы с картриджами T0484, T0494. Чернила InkTec – это достойное и стабильное качество, четкая печать, насыщенные краски и долгий срок службы принтера."
400000003077,"Чернила водорастворимые E0010-01LB, для картриджей Epson T0771, T0781, T0791, T0801, T0811, T0821, T0851, T6641, T6721, T6761, T6781, T7011, T7021, T7031, черные (black), 1000мл, Inktec",12,0,1060.46,1152.67,"{""Наименование чернил"": ""E0010-01LB"", ""Цвет"": ""black (черный)"", ""Объем"": ""1 литр"", ""Модель заправляемых оригинальных картриджей"": ""T0771, T0781, T0791, T0801, T0811, T0821, T0851, T6641, T6721, T6761, T6781, T7011, T7021, T7031"", ""Для использования с принтерами, совместимость"": ""Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410"", ""Производитель"": ""Inktec http://www.inktec.ru""}","Черные чернила для струйных принтеров Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410. Чернила совместимы с картриджами T0771, T0781, T0791, T0801, T0811, T0821, T0851, T6641, T6721, T6761, T6781, T7011, T7021, T7031. Чернила InkTec – это достойное и стабильное качество, четкая печать, насыщенные краски и долгий срок службы принтера."
400000003078,"Чернила водорастворимые E0010-01LC, для картриджей Epson T0772, T0782, T0792, T0802, T0812, T0822, T0852, T6642, T6722, T6762, T6782, T7012, T7022, T7032, голубые (cyan), 1000мл, Inktec",9,0,951.71,1034.47,"{""Наименование чернил"": ""E0010-01LC"", ""Цвет"": ""cyan (голубой)"", ""Объем"": ""1 литр"", ""Модель заправляемых оригинальных картриджей"": ""T0772, T0782, T0792, T0802, T0812, T0822, T0852, T6642, T6722, T6762, T6782, T7012, T7022, T7032"", ""Для использования с принтерами, совместимость"": ""Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410"", ""Производитель"": ""Inktec http://www.inktec.ru""}","Голубые чернила для струйных принтеров Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410. Чернила совместимы с картриджами T0772, T0782, T0792, T0802, T0812, T0822, T0852, T6642, T6722, T6762, T6782, T7012, T7022, T7031. Чернила InkTec – это достойное и стабильное качество, четкая печать, насыщенные краски и долгий срок службы принтера."
400000003081,"Чернила водорастворимые E0010-01LLC, для картриджей Epson T0775, T0785, T0795, T0805, T0815, T0825, T0855, T6645, T6725, T6765, T6785, T7015, T7025, T7035, светло-голубые (light cyan), 1000мл, Inktec",10,0,951.71,1034.47,"{""Наименование чернил"": ""E0010-01LLC"", ""Цвет"": ""light cyan (светло-голубой)"", ""Объем"": ""1 литр"", ""Модель заправляемых оригинальных картриджей"": ""T0775, T0785, T0795, T0805, T0815, T0825, T0855, T6645, T6725, T6765, T6785, T7015, T7025, T7035"", ""Для использования с принтерами, совместимость"": ""Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410"", ""Производитель"": ""Inktec http://www.inktec.ru""}","Светло-голубые чернила для струйных принтеров Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410. Чернила совместимы с картриджами T0775, T0785, T0795, T0805, T0815, T0825, T0855, T6645, T6725, T6765, T6785, T7015, T7025, T7035. Чернила InkTec – это достойное и стабильное качество, четкая печать, насыщенные краски и долгий срок службы принтера."
400000003082,"Чернила водорастворимые E0010-01LLM, для картриджей Epson T0776, T0786, T0796, T0806, T0816, T0826, T0856, T6646, T6726, T6766, T6786, T7016, T7026, T7036, светло-пурпурные (light magenta), 1000мл, Inktec",10,0,951.71,1034.47,"{""Наименование чернил"": ""E0010-01LLM"", ""Цвет"": ""light magenta (светло-пурпурный)"", ""Объем"": ""1 литр"", ""Модель заправляемых оригинальных картриджей"": ""T0776, T0786, T0796, T0806, T0816, T0826, T0856, T6646, T6726, T6766, T6786, T7016, T7026, T7036"", ""Для использования с принтерами, совместимость"": ""Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410"", ""Производитель"": ""Inktec http://www.inktec.ru""}","Светло-пурпурные чернила для струйных принтеров Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410. Чернила совместимы с картриджами T0776, T0786, T0796, T0806, T0816, T0826, T0856, T6646, T6726, T6766, T6786, T7016, T7026, T7036. Чернила InkTec – это достойное и стабильное качество, четкая печать, насыщенные краски и долгий срок службы принтера."
400000003079,"Чернила водорастворимые E0010-01LM, для картриджей Epson T0773, T0783, T0793, T0803, T0813, T0823, T0853, T6643, T6723, T6763, T6783, T7013, T7023, T7033, пурпурные (magenta), 1000мл, Inktec",9,0,951.71,1034.47,"{""Наименование чернил"": ""E0010-01LM"", ""Цвет"": ""magenta (пурпурный)"", ""Объем"": ""1 литр"", ""Модель заправляемых оригинальных картриджей"": ""T0773, T0783, T0793, T0803, T0813, T0823, T0853, T6643, T6723, T6763, T6783, T7013, T7023, T7033"", ""Для использования с принтерами, совместимость"": ""Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410"", ""Производитель"": ""Inktec http://www.inktec.ru""}","Пурпурные чернила для струйных принтеров Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410. Чернила совместимы с картриджами T0773, T0783, T0793, T0803, T0813, T0823, T0853, T6643, T6723, T6763, T6783, T7013, T7023, T7033. Чернила InkTec – это достойное и стабильное качество, четкая печать, насыщенные краски и долгий срок службы принтера."
400000003080,"Чернила водорастворимые E0010-01LY, для картриджей Epson T0774, T0784, T0794, T0804, T0814, T0824, T0854, T6644, T6724, T6764, T6784, T7014, T7024, T7034, желтые (yellow), 1000мл, Inktec",10,0,951.71,1034.47,"{""Наименование чернил"": ""E0010-01LY"", ""Цвет"": ""yellow (желтый)"", ""Объем"": ""1 литр"", ""Модель заправляемых оригинальных картриджей"": ""T0774, T0784, T0794, T0804, T0814, T0824, T0854, T6644, T6724, T6764, T6784, T7014, T7024, T7034"", ""Для использования с принтерами, совместимость"": ""Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410"", ""Производитель"": ""Inktec http://www.inktec.ru""}","Желтые чернила для струйных принтеров Epson Stylus Photo R260, R265, R270, R280, R285, R290, R295, R360, R380, R390, 1390, 1400, 1410, PX700W, PX800FW, TX700W, RX560, RX580, RX585, RX590, RX595, RX610, RX680, RX685, RX690, T50, T59, P50, 1390, 1400, 1410. Чернила совместимы с картриджами T0774, T0784, T0794, T0804, T0814, T0824, T0854, T6644, T6724, T6764, T6784, T7014, T7024, T7034. Чернила InkTec – это достойное и стабильное качество, четкая печать, насыщенные краски и долгий срок службы принтера."
400000024018,"Чернила водорастворимые E0017-01LB, для картриджей Epson T6731, черные (black), 1000мл, Inktec",6,0,1060.46,1152.67,"{""Наименование чернил"": ""E0017-01LB"", ""Цвет"": ""black (черный)"", ""Объем"": ""1л"", ""Модель заправляемых оригинальных картриджей"": ""T6731"", ""Для использования с принтерами, совместимость"": ""L800, L801, L805, L810, L850, L1800"", ""Производитель"": ""Inktec"", ""Сайт производителя"": ""http://www.inktec.ru""}","По многочисленным просьбам, которые поступали от пользователей со всех регионов России, компания InkTec выпустила специальную серию Е0017 для принтеров Epson L800/ L801/ L805/ L810/ L850/ L1800.Если вы используете чернила Е0010 и качество печати вас устраивает, то нет необходимости переходить на новые чернила. Но если вы хотели бы сменить, то достаточно слить остатки Е0010 и долить новые Е0017 в емкости СНПЧ, без дополнительной промывки и других манипуляций."
400000024019,"Чернила водорастворимые E0017-01LC, для картриджей Epson T6732, голубые (cyan), 1000мл, Inktec",8,0,951.71,1034.47,"{""Наименование чернил"": ""E0017-01LC"", ""Цвет"": ""cyan (голубые)"", ""Объем"": ""1л"", ""Модель заправляемых оригинальных картриджей"": ""T6732"", ""Для использования с принтерами, совместимость"": ""L800, L801, L805, L810, L850, L1800"", ""Производитель"": ""Inktec"", ""Сайт производителя"": ""http://www.inktec.ru""}","По многочисленным просьбам, которые поступали от пользователей со всех регионов России, компания InkTec выпустила специальную серию Е0017 для принтеров Epson L800/ L801/ L805/ L810/ L850/ L1800.Если вы используете чернила Е0010 и качество печати вас устраивает, то нет необходимости переходить на новые чернила. Но если вы хотели бы сменить, то достаточно слить остатки Е0010 и долить новые Е0017 в емкости СНПЧ, без дополнительной промывки и других манипуляций."
400000024020,"Чернила водорастворимые E0017-01LLC, для картриджей Epson T6735, светло-голубые (light cyan), 1000мл, Inktec",8,0,951.71,1034.47,"{""Наименование чернил"": ""E0017-01LLC"", ""Цвет"": ""light cyan (светло-голубые)"", ""Объем"": ""1л"", ""Модель заправляемых оригинальных картриджей"": ""T6735"", ""Для использования с принтерами, совместимость"": ""L800, L801, L805, L810, L850, L1800"", ""Производитель"": ""Inktec"", ""Сайт производителя"": ""http://www.inktec.ru""}","По многочисленным просьбам, которые поступали от пользователей со всех регионов России, компания InkTec выпустила специальную серию Е0017 для принтеров Epson L800/ L801/ L805/ L810/ L850/ L1800.Если вы используете чернила Е0010 и качество печати вас устраивает, то нет необходимости переходить на новые чернила. Но если вы хотели бы сменить, то достаточно слить остатки Е0010 и долить новые Е0017 в емкости СНПЧ, без дополнительной промывки и других манипуляций."
