printer_id,name,cartridges,parts,availability,in_transit,wholesale_price,retail_price,description,char_Тип товара,char_Наименование производителя,char_Бренд,char_Происхождение товара,char_Модель запчасти,"char_Ресурс, стр A4",char_Цветность,char_Номер запчасти (Part number),char_Альтернативные артикулы,char_Используется в принтерах,char_Принтеры для наименования,char_Ключевые слова,char_Группа товара,char_Подгруппа товара,char_Вес в упаковке,char_Гарантия,char_Поставщик,char_Для использования с картриджами,char_Категория товара,char_Совместимые картриджи,"char_Для использования с принтерами/МФУ, совместимость",char_Особенности,char_Производитель,char_Название модели,char_Артикул,char_Артикул Восточноевропейский,char_Артикул Азиатский,char_Цвет тонера,char_Назначение,"char_Вес тонера в картридже, г","char_Вес тонера с девелопером в картридже, г",char_Страна-производитель,char_Наличие чипа,char_Модель заправляемых оригинальных картриджей,char_Сайт производителя,char_Регион использования,char_Наименование картриджа,char_Цвет,char_Модель заменяемых оригинальных картриджей,"char_Для использования с принтерами, совместимость",char_Ресурс,char_Масса тонера,char_Совместимый картридж,char_Для использования с принтерами/МФУ,"char_Ресурс, стр","char_Вес тонер, г",char_Тип,char_Совместимые принтеры,char_Заводской номер запчасти,char_Для использования с принтерами,"char_Ресурс отпечатков, л",char_Совместимость,"char_Масса тонера, г","char_Количество отпечатков, стр",char_Количество страниц,char_Тип запчасти
400000032480,"Картридж оригинал. Konica Minolta TNP-48Y A5X0250/A5X0230, для цветных лазерных принтеров Konica Minolta C3350/C3850, желтый (yellow), 10000стр A4",,,3,0,2990.0,6489.99,,Картридж,,Konica Minolta,оригинальный,,10000,,,,"Konica Minolta Bizhub C3350, C3850",C3350/C3850,"Konica Minolta Bizhub C3350, C3850",,,"1, грамм",10 месяцев,,,,,,,,TNP-48Y,A5X0290,A5X0250,A5X0230,желтый (yellow),для цветных лазерных принтеров Konica Minolta,нет данных,нет данных,Малайзия,,,,,,,,,,,,,,,,,,,,,,,,
400000030024,"Чип тонер-картриджа  совместим. для лазерных принтеров Samsung SL-M2620 MLT-D115L, черный (black), 3000стр A4, Булат",,,6,0,107.15,113.03,"Чип для лазерного картриджа — микросхема памяти, на которой записаны характеристики картриджа. Количество израсходованного тонера, подсчитанное чипом, лишь приблизительно и на момент когда, согласно подсчету, тонер израсходован и печать блокируется, картридж содержит еще около 30% тонера. Таким образом, замена чипа позволяет значительно сэкономить на расходных материалах лазерного принтера.Чип для принтеров Samsung SL-M2620, SL-M2670, SL-M2820, SL-M2830, SL-M2870, SL-M2880",Чип тонер-картриджа,,Булат,совместимый,Samsung SL-M2620 MLT-D115L,3000,черный (black),,,,,"Samsung SL-M2620, SL-M2670, SL-M2820, SL-M2830, SL-M2870, SL-M2880",,,"2, грамм",Гарантия на данный товар не предоставляется,Булат,MLT-D115L,Чипы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000033714,"Блок фотобарабана (Drum Unit) оригинал. для Ricoh C7200/C7210, универсальный, M0BJ-9510",,,6,0,18990.0,18990.0,"Ricoh Pro C7200S, C7200SX, C7200X, C7210S, C7210SX, C7210X",Блок фотобарабана,Drum Unit,Ricoh,оригинальный,не предусмотрено,нет данных,универсальный,M0BJ-9510,"M0BJ9510, M0BH9510, D0A59510","Pro C7200S, C7200SX, C7200X, C7210S, C7210SX, C7210X",C7200/C7210,блок модуль узел фотобарабана барабан барабаны фотовал фоторецептор фоторецепторы ксерографии драмы драм-юнит драм-картридж OPC Drum фотобарабанный блок фотопроводящий барабан фотоблок блок фотопечати фотобаробан фотобаран фотоборабан фоторецепторный барабан CMYK Drum фото барабан unit блок модуль узел оригинал Ricoh Rico Rikoh Riko Рико Рикох Про C7200S C 7200S C7200SX C 7200SX C7200X C 7200X C7210S C 7210S C7210SX C 7210SX C7210X C 7210X,Перенос изображения,Блок фотобарабана,"552, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000015503,"Фотобарабан  совместим. для лазерных принтеров HP LJ 2500, Static Control",,,2,0,293.01,347.68,"Фотобарабан для лазерных принтеров HP CLJ 2500, 2550 и картриджей C9702A, C9703A, C9701A, C9700A. Фотобарабан состоит из металлического цилиндра, на который нанесен фотослой. Фотобарабаны различаются размерами и формой шестерен, обеспечивающих его вращение. На фотобарабане лазер принтера засвечивает области, на которые магнитному валу необходимо нанести тонер. Срок службы фотобарабана зависит от используемых тонера и бумаги.",,,,,,,,,,,,,,,,,,,,"C9702A, C9703A, C9701A, C9700A","HP CLJ 2500, 2550",,Static Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031860,"Картридж оригинал. Konica Minolta TN-626AK ACV1130/ACV117A, для цветных лазерных принтеров C450i/C650i, черный (black), 28000стр A4",,,2,0,7900.0,7900.0,"Konica Minolta Bizhub C450i, C550i, C650i",Картридж,,Konica Minolta,оригинальный,,28000,,,"ACV1150, ACV1190","Konica Minolta Bizhub C450i, C550i, C650i, C451i, C555i, C651i",C450i/C650i,Konica Minolta Bizhub Коника Минольта Минолта Бизхаб Бицхаб C450i C550i C650i C 450i C 550i C 650i тонер туба краска репленишер replenisher флакон,,,"800, грамм",10 месяцев,,,,,,,,TN-626AK,ACV117A,ACV1130,ACV117A,черный (black),для цветных лазерных принтеров,500,,Япония,,,,,,,,,,,,,,,,,,,,,,,,
400000029529,"Картридж совместимый для цветных лазерных принтеров Xerox, Xerox Phaser 7800, черный (black), с чипом, 24000стр A4, Булат",,,1,0,1921.76,0.0,,Картридж совместимый,,Булат,,,24000,,,,,Xerox Phaser 7800,,,,"789, грамм",Гарантия на данный товар не предоставляется,,,,,,,,Xerox Phaser 7800,,,,черный (black),для цветных лазерных принтеров Xerox,,,,с чипом,106R01573,www.bulatgroup.ru,,,,,,,,,,,,,,,,,,,,,
400000032841,"Картридж оригинал. Xerox 006R01648/CT202294, для цветных лазерных принтеров Versant 80/280, пурпурный (magenta), 21000стр A4",,,261,0,6880.0,6880.0,"Opигинaльный тoнeр-картридж Xerox, пурпурный (magenta)Подходит для принтеров Xerox Versant 80, 170i, 180, 180i, 280 PressКартриджи предназначены для распространения в США и Канаде, для корректной работы требуется заменучипа.",Картридж,,Xerox,оригинальный,,21000,,,"006R01640, 006R01644, 006R01847, CT202282, CT202286, CT202290, CT202294, CT202298, CT202302, CT203444","Xerox Versant 80, 170i, 180, 180i, 280 Press",Versant 80/280,Xerox Versant 80 170 170i 180 180i 280 v80 c170i v180 v180i v280 Press Ксерокс Версант вёрсант пресс туба тонер порошок краска репленишер replenisher,,,"1220, грамм",10 месяцев,,,,,,,,не предусмотрено,006R01644,006R01648,CT202294,пурпурный (magenta),для цветных лазерных принтеров,638,695,США,,,,,,,,,,,,,,,,,,,,,,,,
400000031443,"Картридж оригинал. Xerox 006R01661/CT201704 , для цветных лазерных принтеров C60/70, пурпурный (magenta), 30000стр A4",,,6,0,6790.0,6790.0,,Картридж,,Xerox,оригинальный,,30000,,,006R01740,"Xerox Color C60, C70",C60/70,Xerox Color Colour C550 C560 C570 C60 C70 C 550 C 560 C 570 C 60 C 70 PrimeLink Prime Link C9065 C9070 C 9065 C 9070 Праймлинк колор калэр калор colour пресс ксерокс тонер туба replenisher краска,,,"1315, грамм",10 месяцев,,,,,,,,не предусмотрено,006R01527,006R01661,CT201704,пурпурный (magenta),для цветных лазерных принтеров,638,737,США,,,,,,,,,,,,,,,,,,,,,,,,
400000013576,"Чип тонер-картриджа  совместим. для лазерных принтеров Samsung SCX-D4200A, черный (black), 3000стр A4, Китай",,,52,0,50.0,50.01,"Чип для лазерных принтеров Samsung SCX-4200 и картриджей SCX-D4200A. Чип для лазерного картриджа — микросхема памяти, на которой записаны характеристики картриджа. Количество израсходованного тонера, подсчитанное чипом, лишь приблизительно и на момент когда, согласно подсчету, тонер израсходован и печать блокируется, картридж содержит еще около 30% тонера. Таким образом, замена чипа позволяет значительно сэкономить на расходных материалах лазерного принтера.",,,,,,,,,,,,,,,,,,,,SCX-D4200A,Samsung SCX-4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030343,"Фотобарабан  совместим. для лазерных принтеров Ricoh SP150, SGT",,,4,0,452.42,491.76,Фотобарабан для принтеров Ricoh SP150,Фотобарабан,,SGT,совместимый,Ricoh SP150,нет данных,не предусмотрено,,,,,Ricoh SP150,,,"50, грамм",Гарантия на данный товар не предоставляется,Булат,"SP150HE, SP150LE",Фотобарабаны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
